search_func,size,hit,times
Linear,10,HIT,5.000014789402485e-05
Linear,10,HIT,2.650008536875248e-05
Linear,10,HIT,2.519995905458927e-05
Linear,10,HIT,2.4700071662664413e-05
Linear,10,HIT,2.4399952962994576e-05
Linear,10,HIT,2.4099834263324738e-05
Linear,10,HIT,2.4300068616867065e-05
Linear,10,HIT,2.450007013976574e-05
Linear,10,HIT,2.4799956008791924e-05
Linear,10,HIT,2.469983883202076e-05
Linear,50,HIT,3.220001235604286e-05
Linear,50,HIT,2.5399960577487946e-05
Linear,50,HIT,2.5399960577487946e-05
Linear,50,HIT,2.410006709396839e-05
Linear,50,HIT,2.4700071662664413e-05
Linear,50,HIT,2.569984644651413e-05
Linear,50,HIT,2.5300076231360435e-05
Linear,50,HIT,2.4700071662664413e-05
Linear,50,HIT,2.4700071662664413e-05
Linear,50,HIT,2.4700071662664413e-05
Linear,100,HIT,4.060007631778717e-05
Linear,100,HIT,3.720005042850971e-05
Linear,100,HIT,3.6700163036584854e-05
Linear,100,HIT,3.520003519952297e-05
Linear,100,HIT,3.5400036722421646e-05
Linear,100,HIT,3.560003824532032e-05
Linear,100,HIT,3.560003824532032e-05
Linear,100,HIT,3.520003519952297e-05
Linear,100,HIT,3.5400036722421646e-05
Linear,100,HIT,3.4899916499853134e-05
Linear,500,HIT,4.4800108298659325e-05
Linear,500,HIT,3.910018131136894e-05
Linear,500,HIT,3.8599828258156776e-05
Linear,500,HIT,3.900006413459778e-05
Linear,500,HIT,3.8800062611699104e-05
Linear,500,HIT,3.8899946957826614e-05
Linear,500,HIT,3.819982521235943e-05
Linear,500,HIT,5.9099867939949036e-05
Linear,500,HIT,3.869994543492794e-05
Linear,500,HIT,3.9499951526522636e-05
Linear,1000,HIT,5.6999968364834785e-05
Linear,1000,HIT,5.070003680884838e-05
Linear,1000,HIT,5.060015246272087e-05
Linear,1000,HIT,5.039991810917854e-05
Linear,1000,HIT,5.039991810917854e-05
Linear,1000,HIT,5.120015703141689e-05
Linear,1000,HIT,5.149981006979942e-05
Linear,1000,HIT,4.979991354048252e-05
Linear,1000,HIT,5.030003376305103e-05
Linear,1000,HIT,4.989979788661003e-05
Linear,5000,HIT,0.00029790005646646023
Linear,5000,HIT,0.00023939996026456356
Linear,5000,HIT,0.00024189986288547516
Linear,5000,HIT,0.0002532999496906996
Linear,5000,HIT,0.00024099997244775295
Linear,5000,HIT,0.00023930007591843605
Linear,5000,HIT,0.00023870007134974003
Linear,5000,HIT,0.0002368998248130083
Linear,5000,HIT,0.000251400051638484
Linear,5000,HIT,0.000363099854439497
Linear,10000,HIT,0.0003049001097679138
Linear,10000,HIT,0.00038679991848766804
Linear,10000,HIT,0.00029080011881887913
Linear,10000,HIT,0.00034849997609853745
Linear,10000,HIT,0.00029980018734931946
Linear,10000,HIT,0.00030610011890530586
Linear,10000,HIT,0.00030889990739524364
Linear,10000,HIT,0.00029600015841424465
Linear,10000,HIT,0.0002937000244855881
Linear,10000,HIT,0.00029150000773370266
Linear,50000,HIT,0.006457599811255932
Linear,50000,HIT,0.005872800014913082
Linear,50000,HIT,0.005941399838775396
Linear,50000,HIT,0.005801800172775984
Linear,50000,HIT,0.005956500070169568
Linear,50000,HIT,0.006240400020033121
Linear,50000,HIT,0.005980599904432893
Linear,50000,HIT,0.00596500001847744
Linear,50000,HIT,0.005945899989455938
Linear,50000,HIT,0.005875499919056892
Linear,100000,HIT,0.0017898001242429018
Linear,100000,HIT,0.001536400057375431
Linear,100000,HIT,0.0017388002015650272
Linear,100000,HIT,0.0015493999235332012
Linear,100000,HIT,0.0016274999361485243
Linear,100000,HIT,0.0015741998795419931
Linear,100000,HIT,0.0015984000638127327
Linear,100000,HIT,0.001739799976348877
Linear,100000,HIT,0.0016174998600035906
