data_structure,task,size,times
array,build,10,"[4.2600033339113e-06, 3.679998917505145e-06, 4.0199956856667995e-06, 3.6999990697950125e-06, 3.940000897273421e-06]"
array,find_closest,10,"[0.00020884000114165246, 0.0002104399958625436, 0.00020605999743565916, 0.00020439999643713237, 0.0002060999977402389]"
array,build,50,"[9.300000965595245e-06, 9.200000204145908e-06, 9.459996363148093e-06, 1.1140003334730863e-05, 1.0659999679774046e-05]"
array,find_closest,50,"[0.00099653999786824, 0.0011053199996240437, 0.0010181199992075562, 0.0010439200035762043, 0.0009766999981366097]"
array,build,100,"[1.72399973962456e-05, 1.6519997734576465e-05, 1.7199997091665865e-05, 1.959999790415168e-05, 1.639999682083726e-05]"
array,find_closest,100,"[0.002097700000740588, 0.00216935999924317, 0.002071439998690039, 0.0020984600007068364, 0.002017100004013628]"
array,build,500,"[7.208000170066953e-05, 7.139999652281404e-05, 7.531999726779759e-05, 7.23400036804378e-05, 7.285999599844217e-05]"
array,find_closest,500,"[0.010158740001497791, 0.010226800001692026, 0.010173400002531707, 0.010098240000661462, 0.010070360003737733]"
array,build,1000,"[0.00013922000071033835, 0.00014168000197969376, 0.00014027999714016914, 0.00014135999954305588, 0.00014021999668329955]"
array,find_closest,1000,"[0.020072439999785273, 0.02012620000168681, 0.020190360001288356, 0.01991157999727875, 0.02037535999552347]"
array,build,5000,"[0.0006819399946834892, 0.0007705600000917912, 0.0006457999988924712, 0.0007878800039179623, 0.0006571599980816246]"
array,find_closest,5000,"[0.10074515999876894, 0.1018625000026077, 0.10137422000407241, 0.10164809999987483, 0.10150103999767453]"
array,build,10000,"[0.0013788399985060096, 0.0013595400028862058, 0.0013759399997070431, 0.0012968400027602912, 0.0013571999967098235]"
array,find_closest,10000,"[0.20280771999969147, 0.20333737999899312, 0.2014900799957104, 0.201353100000415, 0.20265828000265174]"
BK_trees,build,10,"[0.0006422600010409952, 0.0006033800018485636, 0.0006120199977885932, 0.0005946199991740287, 0.0005988800025079399]"
BK_trees,find_closest,10,"[0.00021773999906145037, 0.00021453999797813595, 0.00021631999989040195, 0.00021664000232703983, 0.00021600000327453016]"
BK_trees,build,50,"[0.005633880000095815, 0.005673819995718077, 0.00583539999788627, 0.005722180003067479, 0.005728479998651892]"
BK_trees,find_closest,50,"[0.0010274400003254414, 0.0010937799990642816, 0.0011266399989835918, 0.0009995399974286555, 0.001050579996081069]"
BK_trees,build,100,"[0.013412439997773617, 0.013189059996511788, 0.013127120002172888, 0.012930580001557246, 0.01323856000090018]"
BK_trees,find_closest,100,"[0.0019862599961925297, 0.001984040002571419, 0.002012440003454685, 0.0020921999996062366, 0.0020744599984027444]"
BK_trees,build,500,"[0.08637285999720916, 0.08669360000058077, 0.08600927999941632, 0.0870655600039754, 0.08650609999895095]"
BK_trees,find_closest,500,"[0.010135100001934915, 0.009920820000115783, 0.010420219996012748, 0.010098719998495653, 0.009919019998051226]"
BK_trees,build,1000,"[0.19241558000212536, 0.1920752600010019, 0.19156635999679567, 0.19189501999644562, 0.1912194599979557]"
BK_trees,find_closest,1000,"[0.02036585999885574, 0.019958620000397786, 0.01994188000098802, 0.02008750000386499, 0.02000347999855876]"
BK_trees,build,5000,"[1.1861224599997513, 1.1856766799988692, 1.1867622999998275, 1.1815822599979584, 1.1826742200006266]"
BK_trees,find_closest,5000,"[0.10278167999931612, 0.10200750000076368, 0.1033120600041002, 0.10316921999910847, 0.10230908000376075]"
BK_trees,build,10000,"[2.545690599997761, 2.5480417800019497, 2.55128662000061, 2.5460837199992965, 2.574453219998395]"
BK_trees,find_closest,10000,"[0.2061935000005178, 0.20523939999984578, 0.20493634000304156, 0.20844124000286685, 0.20537057999754324]"
VP_trees,build,10,"[0.00040567999822087585, 0.00041495999903418124, 0.0003937199944630265, 0.00041366000077687205, 0.0004200999974273145]"
VP_trees,find_closest,10,"[0.00026679999427869916, 0.0002630000002682209, 0.00020989999757148325, 0.0002320400031749159, 0.00022232000483199955]"
VP_trees,build,50,"[0.004015060001984238, 0.003930679999757558, 0.003989580000052229, 0.004031479998957366, 0.0038132200017571448]"
VP_trees,find_closest,50,"[0.0009721200040075928, 0.0010869199992157518, 0.0010471199988387526, 0.001043759996537119, 0.0010349599993787705]"
VP_trees,build,100,"[0.010273400001460686, 0.009990620001917704, 0.009827780001796783, 0.009755740000400692, 0.009839860000647604]"
VP_trees,find_closest,100,"[0.0021133000031113625, 0.0020012799999676646, 0.002144639997277409, 0.0020521000027656556, 0.0020420400018338115]"
VP_trees,build,500,"[0.07196098000276833, 0.07024882000405341, 0.07090968000120483, 0.07055334000033327, 0.0706155400024727]"
VP_trees,find_closest,500,"[0.009948520001489668, 0.009925179998390377, 0.009990339999785647, 0.009889760002261027, 0.009793200000422076]"
VP_trees,build,1000,"[0.16033251999760978, 0.16055663999868558, 0.15965543999918735, 0.16075077999848872, 0.1607428000017535]"
VP_trees,find_closest,1000,"[0.019707480003125964, 0.01986178000224754, 0.01986314000096172, 0.019597559998510407, 0.019634739996399732]"
VP_trees,build,5000,"[1.0924794199992902, 1.0981551600038073, 1.3611576600000261, 1.1243174400005955, 1.0600228399969638]"
VP_trees,find_closest,5000,"[0.10591961999889463, 0.10472259999951347, 0.11262023999588563, 0.10211752000031993, 0.10238073999644257]"
VP_trees,build,10000,"[2.3170792400022036, 2.3020136600011027, 2.280879600002663, 2.3478056600026322, 2.35613792000222]"
VP_trees,find_closest,10000,"[0.20459087999770417, 0.19747717999853193, 0.19822762000258082, 0.21493370000389406, 0.20838990000193008]"
trie,build,10,"[2.7820002287626266e-05, 2.98400002066046e-05, 2.7160003082826733e-05, 2.8559996280819178e-05, 3.631999716162682e-05]"
trie,find_closest,10,"[0.0005937999987509102, 0.0005822799983434379, 0.0006320399988908321, 0.0006180800031870603, 0.0005637599970214069]"
trie,build,50,"[8.38399981148541e-05, 8.944000001065433e-05, 8.458000374957919e-05, 0.00010262000141665339, 8.773999870754778e-05]"
trie,find_closest,50,"[0.0025115400028880687, 0.002595039998413995, 0.00257084000040777, 0.0026813799981027842, 0.0026914399990346284]"
trie,build,100,"[0.00015763999545015395, 0.00015782000264152884, 0.0001752600015606731, 0.00015392000204883516, 0.0001676600018981844]"
trie,find_closest,100,"[0.0053154799970798194, 0.005107580003095791, 0.005523840000387281, 0.005165819998364895, 0.005180200003087521]"
trie,build,500,"[0.0007570200017653405, 0.0007946200028527528, 0.0007740200031548739, 0.0007631000014953315, 0.0007419399975333363]"
trie,find_closest,500,"[0.022965839999960734, 0.02272476000362076, 0.022526119998656214, 0.023933880002005026, 0.02358364000101574]"
trie,build,1000,"[0.0015619800018612296, 0.001628139999229461, 0.0016162000014446677, 0.001562040002318099, 0.0016147400019690394]"
trie,find_closest,1000,"[0.04429067999590188, 0.04648068000096828, 0.04608882000320591, 0.04511228000046685, 0.04350375999929383]"
trie,build,5000,"[0.009703639999497683, 0.008873240003595129, 0.009667699999408797, 0.009825260000070557, 0.009283219999633729]"
trie,find_closest,5000,"[0.20903141999733635, 0.20381975999916904, 0.20560260000056588, 0.20328083999920638, 0.20343531999969855]"
trie,build,10000,"[0.019760220003081485, 0.020268899999791756, 0.019557420001365244, 0.019383359997300433, 0.019650479999836535]"
trie,find_closest,10000,"[0.3877166999969631, 0.3847672400006559, 0.391576919995714, 0.38336173999705353, 0.39066192000173033]"
